WEEK_START,WIAU
2024-12-30 00:00:00.000,92
2025-01-06 00:00:00.000,291
2025-01-13 00:00:00.000,475
2025-01-20 00:00:00.000,705
2025-01-27 00:00:00.000,847
2025-02-03 00:00:00.000,866
2025-02-10 00:00:00.000,882
2025-02-17 00:00:00.000,867
2025-02-24 00:00:00.000,859
2025-03-03 00:00:00.000,854
2025-03-10 00:00:00.000,871
2025-03-17 00:00:00.000,878
2025-03-24 00:00:00.000,872
2025-03-31 00:00:00.000,872
2025-04-07 00:00:00.000,870
2025-04-14 00:00:00.000,881
2025-04-21 00:00:00.000,867
2025-04-28 00:00:00.000,870
2025-05-05 00:00:00.000,677
2025-05-12 00:00:00.000,494
2025-05-19 00:00:00.000,272
2025-05-26 00:00:00.000,70
