event_id,user_id,session_id,event_name,event_timestamp
1,1,1,app_first_open,2025-01-09 04:36:00
2,1,1,insight_view,2025-01-09 04:41:00
3,1,2,app_first_open,2025-01-10 08:09:00
4,1,3,app_first_open,2025-01-15 02:01:00
5,1,3,insight_view,2025-01-15 02:06:00
6,1,4,app_first_open,2025-01-21 04:21:00
7,1,5,app_first_open,2025-01-26 17:45:00
8,1,5,insight_view,2025-01-26 17:50:00
9,1,5,paywall_view,2025-01-26 17:55:00
10,1,6,app_first_open,2025-01-26 02:51:00
11,1,6,insight_view,2025-01-26 02:56:00
12,1,7,app_first_open,2025-01-31 05:04:00
13,1,7,insight_view,2025-01-31 05:09:00
14,1,8,app_first_open,2025-01-31 07:43:00
15,1,9,app_first_open,2025-02-08 22:17:00
16,1,9,paywall_view,2025-02-08 22:27:00
17,1,10,app_first_open,2025-02-08 07:21:00
18,1,11,app_first_open,2025-02-13 22:19:00
19,1,11,paywall_view,2025-02-13 22:29:00
20,1,12,app_first_open,2025-02-13 06:12:00
21,1,12,insight_view,2025-02-13 06:17:00
22,1,13,app_first_open,2025-02-19 02:25:00
23,1,13,insight_view,2025-02-19 02:30:00
24,1,14,app_first_open,2025-02-19 19:28:00
25,1,14,insight_view,2025-02-19 19:33:00
26,1,15,app_first_open,2025-02-20 14:24:00
27,1,15,paywall_view,2025-02-20 14:34:00
28,1,16,app_first_open,2025-02-26 17:04:00
29,1,16,paywall_view,2025-02-26 17:14:00
30,1,17,app_first_open,2025-02-26 13:59:00
31,1,17,insight_view,2025-02-26 14:04:00
32,1,18,app_first_open,2025-03-09 18:17:00
33,1,18,insight_view,2025-03-09 18:22:00
34,1,18,paywall_view,2025-03-09 18:27:00
35,1,19,app_first_open,2025-03-09 04:36:00
36,1,19,paywall_view,2025-03-09 04:46:00
37,1,20,app_first_open,2025-03-10 00:35:00
38,1,21,app_first_open,2025-03-11 12:41:00
39,1,22,app_first_open,2025-03-11 12:27:00
40,1,22,paywall_view,2025-03-11 12:37:00
41,1,23,app_first_open,2025-03-20 06:10:00
42,1,24,app_first_open,2025-03-20 09:15:00
43,1,24,paywall_view,2025-03-20 09:25:00
44,1,25,app_first_open,2025-03-24 10:30:00
45,1,25,insight_view,2025-03-24 10:35:00
46,1,25,paywall_view,2025-03-24 10:40:00
47,1,26,app_first_open,2025-03-24 13:23:00
48,1,26,insight_view,2025-03-24 13:28:00
49,1,27,app_first_open,2025-03-30 21:26:00
50,1,28,app_first_open,2025-04-02 07:52:00
51,1,28,insight_view,2025-04-02 07:57:00
52,1,29,app_first_open,2025-04-12 20:41:00
53,1,29,insight_view,2025-04-12 20:46:00
54,1,29,paywall_view,2025-04-12 20:51:00
55,1,30,app_first_open,2025-04-12 20:27:00
56,1,30,insight_view,2025-04-12 20:32:00
57,1,31,app_first_open,2025-04-14 13:16:00
58,1,31,insight_view,2025-04-14 13:21:00
59,1,31,paywall_view,2025-04-14 13:26:00
60,1,32,app_first_open,2025-04-14 11:38:00
61,1,33,app_first_open,2025-04-16 08:05:00
62,1,33,paywall_view,2025-04-16 08:15:00
63,1,34,app_first_open,2025-04-16 06:45:00
64,1,35,app_first_open,2025-04-20 10:17:00
65,1,35,insight_view,2025-04-20 10:22:00
66,1,35,paywall_view,2025-04-20 10:27:00
67,1,36,app_first_open,2025-04-22 10:57:00
68,1,36,insight_view,2025-04-22 11:02:00
69,1,37,app_first_open,2025-04-28 04:40:00
70,1,37,insight_view,2025-04-28 04:45:00
71,1,38,app_first_open,2025-04-28 18:26:00
72,1,38,insight_view,2025-04-28 18:31:00
73,1,38,paywall_view,2025-04-28 18:36:00
74,1,39,app_first_open,2025-05-03 11:11:00
75,1,39,insight_view,2025-05-03 11:16:00
76,1,40,app_first_open,2025-05-03 09:39:00
77,2,41,app_first_open,2025-01-17 02:49:00
78,2,41,insight_view,2025-01-17 02:54:00
79,2,42,app_first_open,2025-01-19 22:39:00
80,2,42,paywall_view,2025-01-19 22:49:00
81,2,43,app_first_open,2025-01-19 02:24:00
82,2,44,app_first_open,2025-01-20 10:46:00
83,2,44,insight_view,2025-01-20 10:51:00
84,2,45,app_first_open,2025-01-20 13:42:00
85,2,45,insight_view,2025-01-20 13:47:00
86,2,46,app_first_open,2025-01-21 14:48:00
